approval_rate,expected_loss_rate,approved_bad_rate
0.05,0.11972491318576074,0.017333333333333333
0.060000000000000005,0.12452803746707823,0.02
0.07,0.1287573627758547,0.02
0.08,0.13259259515413435,0.020833333333333332
0.09,0.1361065170425432,0.024814814814814814
0.1,0.1393740740475498,0.024666666666666667
0.11,0.14246980755444255,0.02727272727272727
0.12000000000000001,0.14537727612834972,0.02722222222222222
0.13,0.14813016196910486,0.028974358974358974
0.14,0.1507665343008315,0.029285714285714286
0.15000000000000002,0.1533249839450887,0.030222222222222223
0.16,0.15582410421926943,0.030833333333333334
0.16999999999999998,0.1582710334206348,0.031568627450980394
0.18,0.16065808722224936,0.03185185185185185
0.19,0.16298210606788838,0.03192982456140351
0.2,0.1652490944924674,0.03233333333333333
0.21000000000000002,0.16746432845388737,0.03301587301587302
0.22000000000000003,0.16962918822006537,0.03409090909090909
0.22999999999999998,0.1717567921355404,0.034927536231884056
0.24,0.1738444231930477,0.03625
0.25,0.1758963611390563,0.0372
0.26,0.1779157399286825,0.03743589743589744
0.27,0.17989786140482408,0.038641975308641975
0.28,0.18184970732110256,0.039285714285714285
0.29,0.18377540775807447,0.04068965517241379
0.3,0.1856643819249436,0.04077777777777778
0.31,0.18751778490740997,0.04236559139784946
0.32,0.18934424488207818,0.043333333333333335
0.33,0.19114282143667058,0.04414141414141414
0.33999999999999997,0.19291644408855524,0.045
0.35,0.19465969467963753,0.046285714285714284
0.36,0.19637555483595318,0.0475
0.37,0.19807051203878268,0.04837837837837838
0.38,0.19975118344094453,0.04885964912280702
0.39,0.20141521422435943,0.04965811965811966
0.4,0.2030591124883145,0.051666666666666666
0.41,0.20468078621232844,0.05276422764227642
0.42,0.20628369156140952,0.05357142857142857
0.43,0.20786849394344048,0.05434108527131783
0.44,0.20943687052635485,0.05522727272727273
0.45,0.21098763284396188,0.05711111111111111
0.46,0.2125193860642921,0.058115942028985505
0.47,0.21403105380927961,0.0600709219858156
0.48,0.21552149314869223,0.06131944444444445
0.49,0.21698889283829093,0.06285714285714286
0.5,0.21843502473775728,0.0644
0.51,0.21986382974625954,0.06679738562091503
0.52,0.22127282442545404,0.06826923076923076
0.53,0.22266252695355462,0.06968553459119498
0.54,0.22403431854678915,0.07123456790123457
0.55,0.22538698722668912,0.07321212121212121
0.56,0.22672165807200842,0.07482142857142857
0.5700000000000001,0.2280385403631938,0.07684210526315789
0.5800000000000001,0.22933703950157064,0.0782183908045977
0.5900000000000001,0.23062089907883815,0.08050847457627118
0.6000000000000001,0.23189078706567712,0.08183333333333333
0.6100000000000001,0.23314697950359953,0.08327868852459017
0.6200000000000001,0.23438785649598035,0.08516129032258064
0.63,0.23561475321047404,0.08656084656084656
0.64,0.2368289034082782,0.08895833333333333
0.65,0.2380314863575754,0.09092307692307693
0.66,0.23922211583994987,0.09262626262626263
0.67,0.24040300856583813,0.09407960199004975
0.68,0.24157306719074054,0.09612745098039216
0.6900000000000001,0.24273162882341157,0.0981159420289855
0.7000000000000001,0.24387903926347332,0.09976190476190476
0.7100000000000001,0.2450148248598404,0.102018779342723
0.7200000000000001,0.24614010384136326,0.10430555555555555
0.7300000000000001,0.24725448748385562,0.10675799086757991
0.7400000000000001,0.24835786162522763,0.10918918918918918
0.7500000000000001,0.24945031130525686,0.11164444444444445
0.76,0.2505312852796646,0.1143421052631579
0.77,0.2515984748711971,0.11718614718614719
0.78,0.25265255986444934,0.12
0.79,0.25369145360061507,0.12261603375527426
0.8,0.25471440730280875,0.12545833333333334
