approval_target_req,bad_cap_req,approval_rate,approved_bad_rate,expected_loss_rate,sum_limit,avg_limit
0.35,0.06,0.8,0.12545833333333334,0.21081629329264223,313732386.8686755,13072.182786194811
0.39999999999999997,0.06,0.8,0.12545833333333334,0.21081629329264223,313732386.8686755,13072.182786194811
0.44999999999999996,0.06,0.8,0.12545833333333334,0.21081629329264223,313732386.8686755,13072.182786194811
0.49999999999999994,0.06,0.8,0.12545833333333334,0.21081629329264223,313732386.8686755,13072.182786194811
0.5499999999999999,0.06,0.45,0.05711111111111111,0.18226373464237386,244047775.27890486,18077.61298362258
0.5999999999999999,0.06,0.4,0.051666666666666666,0.17719964219507672,231325520.28216282,19277.126690180234
0.6499999999999999,0.06,0.35,0.046285714285714284,0.17149079238175377,216707860.1052281,20638.843819545535
0.7,0.06,0.3,0.04077777777777778,0.16556120809743965,201222877.19229937,22358.09746581104
0.35,0.08,0.8,0.12545833333333334,0.21081629329264223,313732386.8686755,13072.182786194811
0.39999999999999997,0.08,0.8,0.12545833333333334,0.21081629329264223,313732386.8686755,13072.182786194811
0.44999999999999996,0.08,0.55,0.07321212121212121,0.19091972890054942,265379119.91860473,16083.583025369984
0.49999999999999994,0.08,0.5,0.0644,0.1868099833581913,255294576.1914208,17019.638412761386
0.5499999999999999,0.08,0.45,0.05711111111111111,0.18226373464237386,244047775.27890486,18077.61298362258
0.5999999999999999,0.08,0.4,0.051666666666666666,0.17719964219507672,231325520.28216282,19277.126690180234
0.6499999999999999,0.08,0.35,0.046285714285714284,0.17149079238175377,216707860.1052281,20638.843819545535
0.7,0.08,0.3,0.04077777777777778,0.16556120809743965,201222877.19229937,22358.09746581104
0.35,0.1,0.65,0.09092307692307693,0.19830727884964097,283305135.3123998,14528.468477558965
0.39999999999999997,0.1,0.6,0.08183333333333333,0.1945351655316706,274188626.72621906,15232.701484789948
0.44999999999999996,0.1,0.55,0.07321212121212121,0.19091972890054942,265379119.91860473,16083.583025369984
0.49999999999999994,0.1,0.5,0.0644,0.1868099833581913,255294576.1914208,17019.638412761386
0.5499999999999999,0.1,0.45,0.05711111111111111,0.18226373464237386,244047775.27890486,18077.61298362258
0.5999999999999999,0.1,0.4,0.051666666666666666,0.17719964219507672,231325520.28216282,19277.126690180234
0.6499999999999999,0.1,0.35,0.046285714285714284,0.17149079238175377,216707860.1052281,20638.843819545535
0.7,0.1,0.3,0.04077777777777778,0.16556120809743965,201222877.19229937,22358.09746581104
0.35,0.12,0.65,0.09092307692307693,0.19830727884964097,283305135.3123998,14528.468477558965
0.39999999999999997,0.12,0.6,0.08183333333333333,0.1945351655316706,274188626.72621906,15232.701484789948
0.44999999999999996,0.12,0.55,0.07321212121212121,0.19091972890054942,265379119.91860473,16083.583025369984
0.49999999999999994,0.12,0.5,0.0644,0.1868099833581913,255294576.1914208,17019.638412761386
0.5499999999999999,0.12,0.45,0.05711111111111111,0.18226373464237386,244047775.27890486,18077.61298362258
0.5999999999999999,0.12,0.4,0.051666666666666666,0.17719964219507672,231325520.28216282,19277.126690180234
0.6499999999999999,0.12,0.35,0.046285714285714284,0.17149079238175377,216707860.1052281,20638.843819545535
0.7,0.12,0.3,0.04077777777777778,0.16556120809743965,201222877.19229937,22358.09746581104
